report_date,metric_family,channel,risk_grade,campaign_id,origination_month,months_on_book,applications,approvals,accepted,funded_count,requested_amount,funded_amount,active_loans,outstanding_principal,amount_due,amount_paid,collection_rate,dpd_1_balance,dpd_7_balance,dpd_30_balance,dpd_90_balance,touches,opens,clicks,dpd_30_rate
2026-08-13,portfolio,,E,,,0,0,0,0,0,0,0,48,29693.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
2026-08-13,campaign,organic,,CAMP-202608-ORGANIC,,0,6,0,0,1,0,22361.91,0,0,0,0,0.0,0,0,0,0,17,3,2,0.0
2026-08-13,campaign,paid_search,,CAMP-202608-PAID_SEARCH,,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,12,3,2,0.0
2026-08-13,campaign,partner,,CAMP-202608-PARTNER,,0,1,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,5,1,0,0.0
2026-08-13,campaign,referral,,CAMP-202608-REFERRAL,,0,2,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,7,2,2,0.0
2026-08-13,campaign,sms,,CAMP-202608-SMS,,0,1,0,0,1,0,9941.04,0,0,0,0,0.0,0,0,0,0,6,2,3,0.0
2026-08-13,vintage,,,,2026-08-01,0,0,0,0,0,0,0,348,352945.14,0,0,0.0,0,0,0.0,0,0,0,0,0.0
2026-08-14,credit,organic,A,,,0,4,2,2,0,98289.79,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0
2026-08-14,credit,organic,B,,,0,3,0,0,0,53520.62,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0
2026-08-14,credit,organic,C,,,0,4,0,0,0,65326.69,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0
2026-08-14,credit,organic,D,,,0,1,0,0,0,48814.14,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0
2026-08-14,credit,organic,E,,,0,2,0,0,0,84044.97,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0
2026-08-14,credit,paid_search,A,,,0,2,0,0,0,58886.96,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0
2026-08-14,credit,paid_search,B,,,0,1,0,0,0,6419.43,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0
2026-08-14,credit,paid_search,C,,,0,4,0,0,0,70289.03,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0
2026-08-14,credit,paid_search,D,,,0,2,0,0,0,38113.22,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0
2026-08-14,credit,paid_search,E,,,0,1,0,0,0,21602.22,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0
2026-08-14,credit,partner,C,,,0,2,0,0,0,38839.11,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0
2026-08-14,credit,partner,D,,,0,4,0,0,0,71363.15,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0
2026-08-14,credit,referral,B,,,0,1,1,1,1,12522.79,11189.78,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0
2026-08-14,credit,referral,C,,,0,5,0,0,0,94482.33,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0
2026-08-14,credit,referral,D,,,0,3,2,2,2,58358.11,38047.52,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0
2026-08-14,credit,referral,E,,,0,3,2,2,2,70679.77,53076.48,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0
2026-08-14,credit,sms,B,,,0,1,1,1,1,23849.72,20953.91,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0
2026-08-14,credit,sms,C,,,0,1,1,1,1,14454.08,12931.64,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0
2026-08-14,credit,sms,D,,,0,2,1,1,1,16154.44,7832.59,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0
2026-08-14,credit,sms,E,,,0,3,1,1,1,48913.01,15451.04,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0
2026-08-14,portfolio,,A,,,0,0,0,0,0,0,0,72,56552.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
2026-08-14,portfolio,,B,,,0,0,0,0,0,0,0,84,101030.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
2026-08-14,portfolio,,C,,,0,0,0,0,0,0,0,186,219374.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
2026-08-14,portfolio,,D,,,0,0,0,0,0,0,0,96,86505.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
2026-08-14,portfolio,,E,,,0,0,0,0,0,0,0,60,40224.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
2026-08-14,campaign,organic,,CAMP-202608-ORGANIC,,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,20,6,0,0.0
2026-08-14,campaign,paid_search,,CAMP-202608-PAID_SEARCH,,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,9,3,1,0.0
2026-08-14,campaign,partner,,CAMP-202608-PARTNER,,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,8,1,2,0.0
2026-08-14,campaign,referral,,CAMP-202608-REFERRAL,,0,1,0,0,1,0,22431.03,0,0,0,0,0.0,0,0,0,0,6,2,0,0.0
2026-08-14,campaign,sms,,CAMP-202608-SMS,,0,2,0,0,1,0,12931.64,0,0,0,0,0.0,0,0,0,0,11,2,2,0.0
2026-08-14,vintage,,,,2026-08-01,0,0,0,0,0,0,0,498,503687.87,0,0,0.0,0,0,0.0,0,0,0,0,0.0
2026-08-15,credit,organic,A,,,0,1,0,0,0,13055.29,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0
2026-08-15,credit,organic,B,,,0,3,1,1,1,75306.29,54222.44,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0
2026-08-15,credit,organic,C,,,0,4,1,1,1,51539.69,15837.2,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0
2026-08-15,credit,organic,D,,,0,2,1,1,1,38545.21,31625.35,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0
2026-08-15,credit,organic,E,,,0,2,1,1,1,54558.82,32613.96,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0
2026-08-15,credit,paid_search,A,,,0,1,0,0,0,52171.08,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0
2026-08-15,credit,paid_search,B,,,0,1,0,0,0,5966.82,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0
2026-08-15,credit,paid_search,C,,,0,6,2,2,2,111466.4,38678.01,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0
2026-08-15,credit,paid_search,D,,,0,4,2,1,1,54369.46,14841.48,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0
2026-08-15,credit,paid_search,E,,,0,1,0,0,0,19443.55,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0
2026-08-15,credit,partner,A,,,0,1,0,0,0,18351.76,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0
2026-08-15,credit,partner,B,,,0,1,1,1,1,9151.22,8829.45,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0
2026-08-15,credit,partner,C,,,0,2,0,0,0,34489.12,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0
2026-08-15,credit,partner,D,,,0,3,0,0,0,72321.94,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0
2026-08-15,credit,referral,B,,,0,1,1,1,1,19491.72,17032.19,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0
2026-08-15,credit,referral,C,,,0,1,1,1,1,10978.07,10177.43,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0
2026-08-15,credit,referral,D,,,0,1,0,0,0,15613.96,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0
2026-08-15,credit,sms,B,,,0,2,1,1,1,62659.44,40512.21,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0
2026-08-15,credit,sms,C,,,0,1,0,0,0,29197.26,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0
2026-08-15,credit,sms,D,,,0,1,1,1,1,13872.37,12064.11,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0
2026-08-15,credit,sms,E,,,0,2,1,1,1,21253.53,11623.51,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0
2026-08-15,portfolio,,A,,,0,0,0,0,0,0,0,90,78021.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
2026-08-15,portfolio,,B,,,0,0,0,0,0,0,0,180,218768.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
2026-08-15,portfolio,,C,,,0,0,0,0,0,0,0,186,219374.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
2026-08-15,portfolio,,D,,,0,0,0,0,0,0,0,132,137004.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
2026-08-15,portfolio,,E,,,0,0,0,0,0,0,0,72,93300.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
2026-08-15,campaign,organic,,CAMP-202608-ORGANIC,,0,2,0,0,1,0,32613.96,0,0,0,0,0.0,0,0,0,0,13,5,2,0.0
2026-08-15,campaign,paid_search,,CAMP-202608-PAID_SEARCH,,0,1,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,12,3,1,0.0
2026-08-15,campaign,partner,,CAMP-202608-PARTNER,,0,2,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,7,3,0,0.0
2026-08-15,campaign,referral,,CAMP-202608-REFERRAL,,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,4,2,0,0.0
2026-08-15,campaign,sms,,CAMP-202608-SMS,,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,3,1,0,0.0
2026-08-15,vintage,,,,2026-08-01,0,0,0,0,0,0,0,660,746470.07,0,0,0.0,0,0,0.0,0,0,0,0,0.0
2026-08-16,credit,organic,A,,,0,4,2,2,2,77504.47,37817.94,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0
2026-08-16,credit,organic,B,,,0,5,4,4,4,138301.02,118338.53,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0
2026-08-16,credit,organic,C,,,0,4,2,2,1,57775.4,14437.43,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0
2026-08-16,credit,organic,D,,,0,3,0,0,0,22321.92,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0
2026-08-16,credit,paid_search,C,,,0,5,0,0,0,127067.94,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0
2026-08-16,credit,paid_search,D,,,0,2,0,0,0,102776.37,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0
2026-08-16,credit,partner,B,,,0,2,0,0,0,21067.05,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0
2026-08-16,credit,partner,C,,,0,7,4,4,4,172667.96,97944.54,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0
2026-08-16,credit,partner,D,,,0,2,0,0,0,22539.78,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0
2026-08-16,credit,partner,E,,,0,1,0,0,0,13403.23,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0
2026-08-16,credit,referral,A,,,0,2,1,1,1,59050.9,24078.65,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0
2026-08-16,credit,referral,C,,,0,5,2,1,1,98009.42,31579.73,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0
2026-08-16,credit,referral,D,,,0,2,1,1,1,41305.49,27964.76,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0
2026-08-16,credit,referral,E,,,0,1,0,0,0,22243.83,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0
2026-08-16,credit,sms,B,,,0,1,1,1,1,48608.15,46994.7,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0
2026-08-16,credit,sms,C,,,0,3,2,1,1,63424.41,10712.09,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0
2026-08-16,portfolio,,A,,,0,0,0,0,0,0,0,96,102100.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
2026-08-16,portfolio,,B,,,0,0,0,0,0,0,0,204,373837.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
2026-08-16,portfolio,,C,,,0,0,0,0,0,0,0,312,331959.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
2026-08-16,portfolio,,D,,,0,0,0,0,0,0,0,162,200203.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
2026-08-16,portfolio,,E,,,0,0,0,0,0,0,0,108,152989.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
2026-08-16,campaign,organic,,CAMP-202608-ORGANIC,,0,2,0,0,1,0,23249.78,0,0,0,0,0.0,0,0,0,0,12,5,0,0.0
2026-08-16,campaign,paid_search,,CAMP-202608-PAID_SEARCH,,0,1,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,7,2,0,0.0
2026-08-16,campaign,partner,,CAMP-202608-PARTNER,,0,1,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,9,3,1,0.0
2026-08-16,campaign,referral,,CAMP-202608-REFERRAL,,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,5,0,2,0.0
2026-08-16,campaign,sms,,CAMP-202608-SMS,,0,1,0,0,1,0,10712.09,0,0,0,0,0.0,0,0,0,0,3,2,0,0.0
2026-08-16,vintage,,,,2026-08-01,0,0,0,0,0,0,0,882,1161089.04,0,0,0.0,0,0,0.0,0,0,0,0,0.0
2026-08-17,credit,organic,A,,,0,4,2,2,1,64996.75,7035.98,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0
2026-08-17,credit,organic,B,,,0,3,3,3,3,43461.82,39270.3,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0
2026-08-17,credit,organic,C,,,0,7,3,3,3,208800.94,104806.88,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0
2026-08-17,credit,organic,D,,,0,4,1,1,1,133261.6,32878.73,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0
2026-08-17,credit,organic,E,,,0,1,0,0,0,51559.0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0
2026-08-17,credit,paid_search,A,,,0,4,2,2,1,123564.03,28658.01,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0
2026-08-17,credit,paid_search,B,,,0,3,2,2,2,53905.61,31902.45,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0
2026-08-17,credit,paid_search,C,,,0,4,1,1,1,121698.41,32340.32,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0
2026-08-17,credit,paid_search,D,,,0,5,1,1,1,87601.7,11417.56,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0
2026-08-17,credit,paid_search,E,,,0,4,0,0,0,92122.89,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0
2026-08-17,credit,partner,A,,,0,1,0,0,0,14878.8,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0
2026-08-17,credit,partner,C,,,0,12,3,3,1,308661.2,32130.77,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0
2026-08-17,credit,partner,D,,,0,3,0,0,0,67345.92,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0
2026-08-17,credit,referral,A,,,0,1,0,0,0,12639.28,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0
2026-08-17,credit,referral,C,,,0,6,2,2,2,203240.46,19394.56,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0
2026-08-17,credit,referral,D,,,0,1,1,1,1,6275.65,6072.91,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0
2026-08-17,credit,referral,E,,,0,1,1,1,1,20956.44,18387.73,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0
2026-08-17,credit,sms,A,,,0,2,1,1,1,30933.7,14811.79,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0
2026-08-17,credit,sms,B,,,0,2,1,1,1,28747.34,6012.96,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0
2026-08-17,credit,sms,C,,,0,1,0,0,0,16810.18,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0
2026-08-17,credit,sms,D,,,0,1,0,0,0,10851.95,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0
2026-08-17,credit,sms,E,,,0,1,0,0,0,7310.69,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0
2026-08-17,portfolio,,A,,,0,0,0,0,0,0,0,132,139918.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
2026-08-17,portfolio,,B,,,0,0,0,0,0,0,0,264,436417.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
2026-08-17,portfolio,,C,,,0,0,0,0,0,0,0,414,465043.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
2026-08-17,portfolio,,D,,,0,0,0,0,0,0,0,192,235535.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
2026-08-17,portfolio,,E,,,0,0,0,0,0,0,0,114,171376.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
2026-08-17,campaign,organic,,CAMP-202608-ORGANIC,,0,3,0,0,1,0,11344.06,0,0,0,0,0.0,0,0,0,0,14,2,1,0.0
2026-08-17,campaign,paid_search,,CAMP-202608-PAID_SEARCH,,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,14,5,3,0.0
2026-08-17,campaign,partner,,CAMP-202608-PARTNER,,0,2,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,11,3,2,0.0
2026-08-17,campaign,referral,,CAMP-202608-REFERRAL,,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,7,4,0,0.0
2026-08-17,campaign,sms,,CAMP-202608-SMS,,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,6,4,0,0.0
2026-08-17,vintage,,,,2026-08-01,0,0,0,0,0,0,0,1116,1448290.78,0,0,0.0,0,0,0.0,0,0,0,0,0.0
2026-08-18,credit,organic,B,,,0,5,1,1,1,105534.08,26764.11,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0
2026-08-18,credit,organic,C,,,0,5,0,0,0,67564.31,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0
2026-08-18,credit,organic,D,,,0,3,1,1,1,68136.84,14028.8,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0
2026-08-18,credit,organic,E,,,0,1,0,0,0,15205.39,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0
2026-08-18,credit,paid_search,A,,,0,1,1,1,1,6111.28,5723.7,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0
2026-08-18,credit,paid_search,B,,,0,4,0,0,0,111692.19,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0
2026-08-18,credit,paid_search,C,,,0,6,4,4,4,125571.04,62517.28,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0
2026-08-18,credit,paid_search,D,,,0,6,0,0,0,135094.6,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0
2026-08-18,credit,paid_search,E,,,0,1,0,0,0,35106.32,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0
